symbol,q_max,naive_reward,naive_fills,blind_reward,blind_se,blind_inventory_max,blind_fills,sighted_reward,sighted_se,sighted_inventory_max,sighted_imbalance_min,sighted_fills,value_of_sight,break_even_rebate_blind,break_even_rebate_sighted,deep_reward,deep_fills
AAPL,14.0,-0.0006425984700520839,0.9366861979166666,-0.00043553670247395806,9.206136067708119e-06,1,0.626800537109375,0.00025006612141927087,5.009969075520775e-06,6,-0.4,0.3329315185546875,0.0006856028238932289,0.0007,0.0,-0.0007972208658854163,0.4753824869791667
AMZN,8.0,-0.0007207234700520832,0.23583984375,-0.0004984283447265629,1.518249511718746e-05,1,0.16775004069010419,-8.806864420572914e-05,7.247924804687514e-06,1,0.2,0.0329742431640625,0.0004103597005208338,0.003,0.0026000000000000003,-0.0006668599446614589,0.208770751953125
CSCO,29.0,-0.00028874715169270875,0.3005879720052083,-0.00010025024414062502,2.1870930989584313e-06,1,0.18852742513020834,0.0002298736572265624,1.8895467122395765e-05,3,-0.6,0.09603373209635417,0.0003301239013671874,0.0006000000000000001,0.0,-0.0002547709147135418,0.146331787109375
GOOG,9.0,-0.00026692708333333305,0.1160888671875,-0.00018165588378906252,1.2690226236979131e-05,1,0.0896453857421875,-3.870646158854167e-05,9.155273437499974e-07,1,0.2,0.017415364583333332,0.00014294942220052084,0.0021000000000000003,0.0017000000000000001,-0.0002980550130208335,0.09751383463541667
INTC,33.0,-0.00033996582031249985,0.4199422200520833,-0.000136566162109375,2.492268880208248e-06,1,0.26067097981770837,0.0003023274739583332,2.1362304687497376e-06,6,-0.6,0.13154093424479166,0.0004388936360677082,0.0006000000000000001,0.0,-0.00021163940429687496,0.051320393880208336
ISRG,6.0,-0.00015304565429687485,0.042165120442708336,-0.00012774149576822913,4.704793294270891e-06,1,0.0374603271484375,-1.7852783203124972e-05,1.4241536458333273e-06,1,0.2,0.006245930989583334,0.00010988871256510416,0.0035,0.0029000000000000002,-7.731119791666665e-05,0.021464029947916668
MSFT,19.0,0.00030431111653645863,0.8885599772135416,0.00032196044921875,2.461751302083336e-05,1,0.5924072265625,0.0013085428873697935,1.7445882161458513e-05,6,-0.6,0.4589029947916667,0.0009865824381510434,0.0,0.0,-0.0005787150065104164,0.5577392578125
MU,29.0,-3.72314453124998e-05,0.4771728515625,3.2221476236979155e-05,1.5741984049479147e-05,1,0.3102264404296875,0.0004267374674479167,2.4871826171874927e-05,3,-0.6,0.16120402018229169,0.00039451599121093756,0.0,0.0,-0.0003035990397135418,0.327362060546875
NFLX,9.0,-0.0008837381998697924,0.3300272623697917,-0.0005481465657552084,3.163655598958329e-05,1,0.22520955403645831,-4.549662272135415e-05,6.866455078124752e-07,1,0.2,0.0316619873046875,0.0005026499430338543,0.0025,0.0015,-0.0007969156901041667,0.2831827799479167
REGN,5.0,-0.00015431722005208312,0.052937825520833336,-0.00013514200846354154,5.544026692708345e-06,1,0.045684814453125,-1.889546712239582e-05,3.6366780598958174e-06,1,0.2,0.007319132486979167,0.00011624654134114572,0.003,0.0024000000000000002,-0.00012303670247395819,0.026865641276041668
SIRI,63.0,-0.00025924682617187503,0.09266153971354167,-0.00015314737955729154,3.1026204427082898e-06,1,0.056345621744791664,-1.6784667968750004e-06,6.103515624999998e-07,1,0.2,0.0010274251302083335,0.00015146891276041655,0.0028,0.0013000000000000002,-0.0001513163248697918,0.035085042317708336
TSLA,11.0,-0.0010037231445312494,0.34332275390625,-0.0006196339925130208,1.6657511393228437e-05,1,0.23276265462239581,-5.1498413085937514e-05,1.8564860026042297e-06,1,0.2,0.027409871419270836,0.0005681355794270833,0.0027,0.0015,-0.0005780537923177088,0.163726806640625
