symbol,model,scope,n_train,fallback_share,n,auc,brier,log_loss,accuracy,base_rate
AAPL,analytic,common,233995,0.8412098298676749,65232,0.5651862069640246,0.2634046498461052,0.736944597511019,0.5529341427520236,0.516832229580574
AAPL,logistic_imbalance,all,233995,0.8412098298676749,93598,0.5731020854882177,0.24604701101112217,0.6852225949158212,0.5588687792474198,0.5156306758691425
AAPL,logistic_imbalance,common,233995,0.8412098298676749,65232,0.5716594512747049,0.24626688247107567,0.6856500143379896,0.5555862153544273,0.516832229580574
AAPL,logistic_queues,all,233995,0.8412098298676749,93598,0.5738082213385781,0.24589989850117094,0.6849185772267966,0.558537575589222,0.5156306758691425
AAPL,logistic_queues,common,233995,0.8412098298676749,65232,0.5715585288045547,0.2462949575811374,0.6857082414145749,0.5552029678685307,0.516832229580574
AAPL,logistic_all,all,233995,0.8412098298676749,93598,0.5779324771075403,0.24524066768663494,0.6835788001138511,0.5603965896707195,0.5156306758691425
AAPL,logistic_all,common,233995,0.8412098298676749,65232,0.5757903865967913,0.24560259045500088,0.6842992387470823,0.5578243806720627,0.516832229580574
AAPL,boosted_queues,all,233995,0.8412098298676749,93598,0.5473802743154412,0.2491671877003425,0.6917040459288453,0.536539242291502,0.5156306758691425
AAPL,boosted_queues,common,233995,0.8412098298676749,65232,0.5303917718629079,0.24969725557014177,0.6926812873265752,0.5271185921020358,0.516832229580574
AAPL,boosted_all,all,233995,0.8412098298676749,93598,0.5722365515398178,0.24608537046276632,0.6853043468644251,0.551528878822197,0.5156306758691425
AAPL,boosted_all,common,233995,0.8412098298676749,65232,0.5667804337891698,0.24664775594795535,0.6864186117231442,0.5468175128771156,0.516832229580574
AMZN,analytic,common,233995,0.9338374291115312,13165,0.5369283865641876,0.27709364676522175,0.7780653703169567,0.5437143942271173,0.5421952145841246
AMZN,logistic_imbalance,all,233995,0.9338374291115312,93597,0.5391509589000665,0.24833323221593678,0.6898022226679021,0.5270361229526588,0.5279229035118647
AMZN,logistic_imbalance,common,233995,0.9338374291115312,13165,0.5450396978423842,0.2481077009988387,0.689356799126547,0.5315609570831751,0.5421952145841246
AMZN,logistic_queues,all,233995,0.9338374291115312,93597,0.5459630645092867,0.24750232615986442,0.6881130506832077,0.5295041507740633,0.5279229035118647
AMZN,logistic_queues,common,233995,0.9338374291115312,13165,0.5425121951684404,0.24759958803576923,0.6883254741340624,0.53475123433346,0.5421952145841246
AMZN,logistic_all,all,233995,0.9338374291115312,93597,0.546738274906839,0.24745238996849617,0.6880095866588279,0.5323354381016485,0.5279229035118647
AMZN,logistic_all,common,233995,0.9338374291115312,13165,0.5421581216458318,0.2470535963541347,0.6872220397163461,0.5406760349411318,0.5421952145841246
AMZN,boosted_queues,all,233995,0.9338374291115312,93597,0.5325299382913482,0.2513195648091028,0.696288607853802,0.5158498669829161,0.5279229035118647
AMZN,boosted_queues,common,233995,0.9338374291115312,13165,0.5528676224571384,0.24933361080061311,0.6920570090674034,0.5251044436004557,0.5421952145841246
AMZN,boosted_all,all,233995,0.9338374291115312,93597,0.5426921573144333,0.2501577197449857,0.6937726172242124,0.5281579537805698,0.5279229035118647
